,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
0,b'RT @odd_joker: #\xe6\x97\xad\xe5\xb7\x9d\xe5\x87\x84\xe6\x83\xa8\xe3\x82\xa4\xe3\x82\xb8\xe3\x83\xa1\xe3\x81\xae\xe5\x8a\xa0\xe5\xae\xb3\xe8\x80\x85\xe3\x82\x92\xe8\xa8\xb1\xe3\x81\x99\xe3\x81\xaa \n#\xe6\x97\xad\xe5\xb7\x9d14\xe6\xad\xb3\xe5\xb0\x91\xe5\xa5\xb3\xe3\x82\xa4\xe3\x82\xb8\xe3\x83\xa1\xe5\x87\x8d\xe6\xad\xbb\xe4\xba\x8b\xe4\xbb\xb6 \n#\xe6\x97\xad\xe5\xb7\x9d\xe5\xa5\xb3\xe5\xad\x90\xe4\xb8\xad\xe5\xad\xa6\xe7\x94\x9f\xe8\x87\xaa\xe6\xae\xba\xe3\x82\x92\xe9\xa2\xa8\xe5\x8c\x96\xe3\x81\x95\xe3\x81\x9b\xe3\x81\xaa\xe3\x81\x84 \n#GirlsDeathInJapan\n#ChildSexualAssalt\n#Japan\n#rape\n#suicide\n#Assailant\xe2\x80\xa6',1.39078E+18,140,07-05-2021 21:38,,,und,Twitter Web App,0,2
1,b'RT @GoogleExpertUK: @JenGwenBrown @WB_UK @NHSwhistleblowr @PaulFitz58 @thepenof @DrNancyOlivieri @BRAINCURES @do_kinder @DrUmeshPrabhu @and\xe2\x80\xa6',1.39078E+18,140,07-05-2021 21:34,,,en,Twitter for Android,0,43
2,b'\xe2\x81\xa6@JoeManchinWV\xe2\x81\xa9 is rapist...the \xe2\x81\xa6\xe2\x81\xa6@GOP\xe2\x81\xa9 and #moscowmitch keeps saying no but \xe2\x81\xa6@JoeManchinWV\xe2\x81\xa9 #rapeculture keeps saying yes #rape #politics #democrats \xe2\x81\xa6@POTUS\xe2\x81\xa9  https://t.co/7SLoy2pxEW',1.39078E+18,183,07-05-2021 21:34,,,en,Twitter for iPhone,0,0
3,b'RT @GoogleExpertUK: @JenGwenBrown @WB_UK @NHSwhistleblowr @PaulFitz58 @thepenof @DrNancyOlivieri @BRAINCURES @do_kinder @DrUmeshPrabhu @and\xe2\x80\xa6',1.39078E+18,140,07-05-2021 21:33,,,en,Twitter Web App,0,43
4,b'RT @JusticeOzzie: Ms Brittany Higgins : \xe2\x80\x9cAt the start of the meeting he (Scott Morrison) made a concession that he was sorry for my feeling\xe2\x80\xa6',1.39078E+18,140,07-05-2021 21:26,,,en,Twitter for Android,0,279
5,b'RT @ThePeoplesHubUK: @GoogleExpertUK @do_kinder @BullyingAlberta @DelusionalAcad1 @rossthomson26 @TruthsayerOdet1 @Suzanne_Garrett @MoriMah\xe2\x80\xa6',1.39078E+18,140,07-05-2021 21:23,,,en,Twitter Web App,0,19
6,b'RT @ThePeoplesHubUK: @GoogleExpertUK @do_kinder @BullyingAlberta @DelusionalAcad1 @rossthomson26 @TruthsayerOdet1 @Suzanne_Garrett @MoriMah\xe2\x80\xa6',1.39078E+18,140,07-05-2021 21:12,,,en,Twitter for Android,0,19
7,b'\xe2\x9a\xa0\xef\xb8\x8fA credible source in #Tigray: #Hawzien Hospital is under siege - \xf0\x9f\x87\xaa\xf0\x9f\x87\xb9&amp;\xf0\x9f\x87\xaa\xf0\x9f\x87\xb7 troops are using hospital rooms to #rape women &amp; girls. Health officials in #Tigray have reported this to the @UN @EU &amp; Min. of Health @lia_tadesse. It has fallen on deaf ears @hrw @PowerUSAID @UNFPAEthiopia https://t.co/WK9P3GlWER',1.39078E+18,316,07-05-2021 21:08,,,en,Twitter Web App,0,0
8,"b'RT @FarazPervaiz3: @arifaajakia In Gujranwala, another Christian girl Kinza,was raped and killed. #christianpersecution #rape https://t.co/\xe2\x80\xa6'",1.39077E+18,140,07-05-2021 21:03,,,en,Twitter for Android,0,1
9,b'#MonaLisa\xe2\x80\x98s account of\xc2\xa0#rape\xc2\xa0is one of hundreds detailing\xc2\xa0#abuses\xc2\xa0in\xc2\xa0#Tigray where wave of unspeakable\xc2\xa0atrocities including\xc2\xa0#widespread\xc2\xa0#sexual\xc2\xa0assault targeting\xc2\xa0#women has been committed for the last 6 months.\xc2\xa0#WeaponizedRape\xc2\xa0@SecBlinken @USAmbUN\xc2\xa0@UN\xc2\xa0https://t.co/rOobYfLP2r',1.39077E+18,275,07-05-2021 21:02,,,en,Twitter for Android,0,0
